First,Last,Team,Pos,Val
Antonio,Brown,Pit,WR,402
Odell,Beckham Jr,NYG,WR,320
David,Johnson,Ari,RB,322
Le'Veon,Bell,Pit,RB,339
Julio,Jones,Atl,WR,341
Todd,Gurley,LA,RB,284
Ezekiel,Elliott,Dal,RB,279
Rob,Gronkowski,NE,TE,248
DeAndre,Hopkins,Hou,WR,274
Adrian,Peterson,Min,RB,278
Dez,Bryant,Dal,WR,260
Lamar,Miller,Hou,RB,272
A.J.,Green,Cin,WR,261
Brandon,Marshall,NYJ,WR,247
Allen,Robinson,Jax,WR,243
Jordy,Nelson,GB,WR,242
Alshon,Jeffery,Chi,WR,264
Doug,Martin,TB,RB,267
Jamaal,Charles,KC,RB,272
Mark,Ingram,NO,RB,266
Devonta,Freeman,Atl,RB,301
Keenan,Allen,SD,WR,243
Mike,Evans,TB,WR,234
Brandin,Cooks,NO,WR,244
Cam,Newton,Car,QB,378
Amari,Cooper,Oak,WR,241
Eddie,Lacy,GB,RB,239
Demaryius,Thomas,Den,WR,207
Aaron,Rodgers,GB,QB,321
Carlos,Hyde,SF,RB,241
C.J.,Anderson,Den,RB,173
T.Y.,Hilton,Ind,WR,228
LeSean,McCoy,Buf,RB,262
Russell,Wilson,Sea,QB,330
Julian,Edelman,NE,WR,235
Andrew,Luck,Ind,QB,320
Matt,Forte,NYJ,RB,249
Ben,Roethlisberger,Pit,QB,304
Kelvin,Benjamin,Car,WR,208
Jordan,Reed,Was,TE,217
Thomas,Rawls,Sea,RB,237
Sammy,Watkins,Buf,WR,252
Eric,Decker,NYJ,WR,229
Greg,Olsen,Car,TE,207
Golden,Tate,Det,WR,238
Randall,Cobb,GB,WR,192
Doug,Baldwin,Sea,WR,214
Jeremy,Hill,Cin,RB,196
Drew,Brees,NO,QB,313
DeMarco,Murray,Ten,RB,193
Jeremy,Maclin,KC,WR,224
Ryan,Mathews,Phi,RB,215
Latavius,Murray,Oak,RB,210
Jonathan,Stewart,Car,RB,225
Jarvis,Landry,Mia,WR,270
Jay,Ajayi,Mia,RB,222
Matt,Jones,Was,RB,212
Michael,Floyd,Ari,WR,191
Jordan,Matthews,Phi,WR,197
DeVante,Parker,Mia,WR,178
Allen,Hurns,Jax,WR,175
Carson,Palmer,Ari,QB,292
Larry,Fitzgerald,Ari,WR,222
John,Brown,Ari,WR,201
Delanie,Walker,Ten,TE,174
Dion,Lewis,NE,RB,223
Jeremy,Langford,Chi,RB,193
Tyler,Lockett,Sea,WR,236
Blake,Bortles,Jax,QB,291
Travis,Kelce,KC,TE,178
,Denver,Den,DEF,225
Tony,Romo,Dal,QB,254
Frank,Gore,Ind,RB,208
Emmanuel,Sanders,Den,WR,220
Marvin,Jones,Det,WR,192
,Kansas City,KC,DEF,208
Donte,Moncrief,Ind,WR,187
DeSean,Jackson,Was,WR,213
Eli,Manning,NYG,QB,294
Melvin,Gordon,SD,RB,207
Tom,Brady,NE,QB,235
,Houston,Hou,DEF,205
Ameer,Abdullah,Det,RB,241
Kevin,White,Chi,WR,159
Giovani,Bernard,Cin,RB,189
Tyler,Eifert,Cin,TE,170
Coby,Fleener,NO,TE,169
,Seattle,Sea,DEF,203
Tavon,Austin,LA,WR,174
Zach,Ertz,Phi,TE,143
Duke,Johnson Jr,Cle,RB,199
Danny,Woodhead,SD,RB,216
Andy,Dalton,Cin,QB,295
,New England,NE,DEF,198
Stephen,Gostkowski,NE,K,214
Michael,Crabtree,Oak,WR,197
Sterling,Shepard,NYG,WR,164
Gary,Barnidge,Cle,TE,145
T.J.,Yeldon,Jax,RB,204
Willie,Snead,NO,WR,186
,New York Jets,NYJ,DEF,195
Justin,Tucker,Bal,K,209
Julius,Thomas,Jax,TE,143
Derek,Carr,Oak,QB,283
Steve,Smith Sr,Bal,WR,172
,Carolina,Car,DEF,204
Matt,Bryant,Atl,K,196
Kirk,Cousins,Was,QB,288
Ladarius,Green,Pit,TE,141
LeGarrette,Blount,NE,RB,168
Markus,Wheaton,Pit,WR,234
,Green Bay,GB,DEF,198
Chris,Boswell,Pit,K,175
Philip,Rivers,SD,QB,285
Justin,Forsett,Bal,RB,196
Rashad,Jennings,NYG,RB,199
Marcus,Mariota,Ten,QB,294
Antonio,Gates,SD,TE,158
,Pittsburgh,Pit,DEF,201
Steven,Hauschka,Sea,K,184
Tyrod,Taylor,Buf,QB,300
Stefon,Diggs,Min,WR,175
,Los Angeles,LA,DEF,199
Josh,Lambo,SD,K,179
Matthew,Stafford,Det,QB,289
Charles,Sims,TB,RB,180
Corey,Coleman,Cle,WR,175
Matt,Ryan,Atl,QB,263
,Arizona,Ari,DEF,198
Nick,Novak,Hou,K,175
Jameis,Winston,TB,QB,263
Jimmy,Graham,Sea,TE,141
,Cincinnati,Cin,DEF,193
Blair,Walsh,Min,K,179
Dwayne,Allen,Ind,TE,121
Laquon,Treadwell,Min,WR,153
,Tennessee,Ten,DEF,179
Adam,Vinatieri,Ind,K,176
Jason,Witten,Dal,TE,152
,Minnesota,Min,DEF,184
Mason,Crosby,GB,K,175
Eric,Ebron,Det,TE,139
Jay,Cutler,Chi,QB,267
Zach,Miller,Chi,TE,131
,Tampa Bay,TB,DEF,177
Nick,Folk,NYJ,K,176
Ryan,Tannehill,Mia,QB,268
,Detroit,Det,DEF,181
Cairo,Santos,KC,K,175
Phillip,Dorsett,Ind,WR,162
,Oakland,Oak,DEF,179
Josh,Brown,NYG,K,175
Alex,Smith,KC,QB,280
Brock,Osweiler,Hou,QB,271
,San Diego,SD,DEF,175
Graham,Gano,Car,K,173
Joe,Flacco,Bal,QB,251
Darren,Sproles,Phi,RB,189
Brandon,McManus,Den,K,170
Robbie,Gould,Chi,K,170
Dustin,Hopkins,Was,K,150
Phil,Dawson,SF,K,160
Sam,Bradford,Phi,QB,224
Kyle,Rudolph,Min,TE,121
Jared,Goff,LA,QB,183
Teddy,Bridgewater,Min,QB,248
Colin,Kaepernick,SF,QB,245
Geno,Smith,NYJ,QB,241
Robert,Griffin III,Cle,QB,219
Paxton,Lynch,Den,QB,205
C.J.,Spiller,NO,RB,187
Theo,Riddick,Det,RB,175
