Aaron Rodgers,GB,QB,368.54,1,30
Tom Brady,NE,QB,365.82,2,35
Drew Brees,NO,QB,332.99,3,37
Andrew Luck,Ind,QB,332.64,4,74
Cam Newton,Car,QB,324.72,5,76
Russell Wilson,Sea,QB,324.7,6,55
Marcus Mariota,Ten,QB,315.33,7,63
Dak Prescott,Dal,QB,313.29,8,97
Kirk Cousins,Was,QB,308.19,9,73
Matt Ryan,Atl,QB,307.97,10,66
David Johnson,Ari,RB,294.78,11,1
Jameis Winston,TB,QB,290.87,12,68
Le'Veon Bell,Pit,RB,290.31,13,2
Andy Dalton,Cin,QB,286.21,14,104
Matthew Stafford,Det,QB,283.83,15,107
Tyrod Taylor,Buf,QB,281.86,16,114
Ben Roethlisberger,Pit,QB,280.42,17,83
Philip Rivers,LAC,QB,277.04,18,93
Derek Carr,Oak,QB,276.91,19,110
Eli Manning,NYG,QB,266.69,20,116
Julio Jones,Atl,WR,261.56,21,4
Blake Bortles,Jax,QB,257.64,22,135
Odell Beckham Jr.,NYG,WR,254.83,23,5
Antonio Brown,Pit,WR,254.79,24,3
Carson Palmer,Ari,QB,252.08,25,123
Carson Wentz,Phi,QB,250.75,26,133
Joe Flacco,Bal,QB,249.3,27,153
Jordy Nelson,GB,WR,242.48,28,13
Dez Bryant,Dal,WR,242.26,29,18
Jay Cutler,Mia,QB,241.78,30,173
A.J. Green,Cin,WR,237,31,9
Doug Baldwin,Sea,WR,232.41,32,17
Mike Evans,TB,WR,230.53,33,7
Amari Cooper,Oak,WR,230.28,34,26
Jay Ajayi,Mia,RB,227.68,35,11
DeMarco Murray,Ten,RB,224.4,36,15
Michael Thomas,NO,WR,223.53,37,14
Devonta Freeman,Atl,RB,223.11,38,8
Melvin Gordon,LAC,RB,220.85,39,10
LeSean McCoy,Buf,RB,218.58,40,6
T.Y. Hilton,Ind,WR,218.52,41,20
Brandin Cooks,NE,WR,217.4,42,22
Deshaun Watson,Hou,QB,217.31,43,217
Sam Bradford,Min,QB,217.22,44,169
Alex Smith,KC,QB,216.01,45,189
Demaryius Thomas,Den,WR,213.83,46,33
Jordan Howard,Chi,RB,210.93,47,12
Rob Gronkowski,NE,TE,210.72,48,34
Jimmy Graham,Sea,TE,207.43,49,57
Terrelle Pryor Sr.,Was,WR,206.97,50,25
Mike Glennon,Chi,QB,206.91,51,222
Leonard Fournette,Jax,RB,201.58,52,16
Alshon Jeffery,Phi,WR,201.07,53,40
Martavis Bryant,Pit,WR,200.59,54,49
Todd Gurley,LAR,RB,198.27,55,23
Golden Tate,Det,WR,195.53,56,69
Julian Edelman,NE,WR,195.46,57,51
Michael Crabtree,Oak,WR,190.57,58,50
DeSean Jackson,TB,WR,190.1,59,80
Jordan Reed,Was,TE,189.68,60,58
Brian Hoyer,SF,QB,189.63,61,150
Allen Robinson,Jax,WR,188.83,62,44
Christian McCaffrey,Car,RB,188.12,63,27
Davante Adams,GB,WR,186.51,64,43
Kelvin Benjamin,Car,WR,185.86,65,61
DeAndre Hopkins,Hou,WR,185.09,66,28
Carlos Hyde,SF,RB,184.9,67,32
Jarvis Landry,Mia,WR,182.99,68,60
Greg Olsen,Car,TE,182.42,69,46
Ezekiel Elliott,Dal,RB,181.53,70,19
Paul Perkins,NYG,RB,181.12,71,75
Willie Snead,NO,WR,180.01,72,71
