Aaron Rodgers,GB,QB,375,1,31
David Johnson,Ari,RB,362,2,1
Andrew Luck,Ind,QB,353,3,48
Tom Brady,NE,QB,346,4,34
Le'Veon Bell,Pit,RB,344,5,2
Russell Wilson,Sea,QB,344,6,67
Cam Newton,Car,QB,342,7,81
Ezekiel Elliott,Dal,RB,340,8,3
Marcus Mariota,Ten,QB,337,9,64
Drew Brees,NO,QB,335,10,36
Dak Prescott,Dal,QB,322,11,88
Tyrod Taylor,Buf,QB,317,12,114
Kirk Cousins,Was,QB,315,13,92
Odell Beckham Jr.,NYG,WR,312,14,5
Matt Ryan,Atl,QB,309,15,59
Jameis Winston,TB,QB,303,16,75
Blake Bortles,Jax,QB,303,17,126
Antonio Brown,Pit,WR,301,18,4
Andy Dalton,Cin,QB,299,19,112
Julio Jones,Atl,WR,290,20,6
Matthew Stafford,Det,QB,289,21,108
Philip Rivers,LAC,QB,285,22,93
Jay Ajayi,Mia,RB,282,23,13
Devonta Freeman,Atl,RB,282,24,12
T.Y. Hilton,Ind,WR,281,25,18
Melvin Gordon,LAC,RB,279,26,9
Derek Carr,Oak,QB,279,27,102
A.J. Green,Cin,WR,279,28,11
Jordan Howard,Chi,RB,278,29,10
Mike Evans,TB,WR,278,30,7
Dez Bryant,Dal,WR,277,31,19
Ryan Tannehill,Mia,QB,277,32,145
Jordy Nelson,GB,WR,274,33,14
LeSean McCoy,Buf,RB,273,34,8
Amari Cooper,Oak,WR,272,35,22
DeMarco Murray,Ten,RB,271,36,15
Carson Wentz,Phi,QB,269,37,118
Ben Roethlisberger,Pit,QB,268,38,80
Eli Manning,NYG,QB,264,39,113
Leonard Fournette,Jax,RB,264,40,17
Todd Gurley,LAR,RB,263,41,25
Joe Flacco,Bal,QB,259,42,173
Brandin Cooks,NE,WR,258,43,27
Michael Thomas,NO,WR,256,44,16
Terrelle Pryor Sr.,Was,WR,256,45,44
Doug Baldwin,Sea,WR,255,46,21
Deshaun Watson,Hou,QB,248,47,186
Demaryius Thomas,Den,WR,248,48,32
Carson Palmer,Ari,QB,242,49,131
Allen Robinson,Jax,WR,236,50,30
Christian McCaffrey,Car,RB,232,51,23
Alshon Jeffery,Phi,WR,231,52,35
Isaiah Crowell,Cle,RB,230,53,39
Martavis Bryant,Pit,WR,229,54,84
Lamar Miller,Hou,RB,228,55,20
Davante Adams,GB,WR,227,56,40
Sammy Watkins,Buf,WR,227,57,37
DeVante Parker,Mia,WR,227,58,82
DeSean Jackson,TB,WR,226,59,62
Sam Bradford,Min,QB,223,60,183
Paul Perkins,NYG,RB,223,61,68
DeAndre Hopkins,Hou,WR,222,62,24
Emmanuel Sanders,Den,WR,222,63,56
John Brown,Ari,WR,221,64,127
Rob Gronkowski,NE,TE,220,65,29
Alex Smith,KC,QB,219,66,181
Golden Tate,Det,WR,219,67,72
Kelvin Benjamin,Car,WR,219,68,86
Jarvis Landry,Mia,WR,215,69,55
Carlos Hyde,SF,RB,215,70,41
Rishard Matthews,Ten,WR,214,71,94
Michael Crabtree,Oak,WR,213,72,47
Marshawn Lynch,Oak,RB,212,73,53
Spencer Ware,KC,RB,212,74,33
Tyrell Williams,LAC,WR,211,75,96
