Teams,playoffs,first round bye,champion
adam's Peerless Team,0.400356628914,5.67823003436e-14,0.0230634114196
Beer4Breakfast,0.9999,0.792996802682,0.295494795692
Cullen's Cool Team,2.01383285962e-10,2.09737821824e-41,6.89020512254e-12
braden's Team,0.60571931422,4.49297230588e-12,0.0339159639968
Josh's Team,0.9999,0.443438383436,0.191263141042
Lane's Team,0.0050986737293,1.96409239735e-23,0.000290738620986
You're A Gyrok,0.999899996163,0.0455772867594,0.152159265567
Maurice's Team,0.346460007497,2.36462601197e-14,0.0239429609767
arjan's Team,0.607679176102,3.6417455059e-13,0.0492395784493
Mike's Team,0.0246152762304,2.71963574184e-20,0.0013375888646
Upper Deck,0.9999,0.711813568508,0.229292555364
steve's Team,1.66304215394e-22,5.37836117157e-70,2.55454073776e-24
