You're A Gyrok,"33,10,31,4,0.243,3,3,37,4.38,1.14","41,12,34,11,0.229,5,4,89,4.42,1.29"
Josh's Team,"28,13,33,4,0.228,2,2,49,5.15,1.28","35,14,38,0,0.273,6,4,58,3.09,0.89"
Upper Deck,"21,7,25,8,0.194,3,7,56,2.79,1.14","29,6,21,7,0.282,4,6,54,2.30,0.99"
Beer4Breakfast,"49,11,46,11,0.287,6,5,63,4.26,1.19","21,3,20,4,0.215,2,4,30,2.63,1.24"
Mike's Team,"34,12,29,4,0.304,3,2,61,4.18,1.26","24,3,12,2,0.204,2,0,50,4.00,1.37"
braden's Team,"18,3,18,4,0.238,2,1,53,3.80,0.85","23,4,23,4,0.277,2,3,50,2.98,1.30"
adam's Peerless Team,"34,12,29,4,0.304,3,2,61,4.18,1.26","30,11,39,1,0.292,6,2,35,2.13,1.03"
Maurice's Team,"25,4,18,1,0.197,5,6,59,2.55,1.00","28,9,27,5,0.274,4,0,42,3.44,1.15"
Lane's Team,"29,6,23,7,0.261,4,2,59,3.07,1.17","22,6,24,3,0.281,3,2,44,3.83,1.35"
steve's Team,"23,8,29,2,0.206,1,1,29,5.02,1.30","18,5,23,8,0.289,2,4,28,5.26,1.44"
Cullen's Cool Team,"29,10,24,2,0.225,1,0,47,4.83,1.32","34,8,29,3,0.251,0,3,53,3.64,1.20"
arjan's Team,"40,14,38,2,0.288,5,0,57,3.18,1.14","21,8,19,0,0.216,1,0,49,4.01,1.51"
